Timestamp,Moeda,Tipo,Preco,DEX
2026-01-05 05:55:45,USDT,COMPRA,0.9996,uniswap
2026-01-05 05:55:45,USDe,COMPRA,0.9997,camelot
2026-01-05 05:55:45,MIM,COMPRA,0.9999,uniswap
2026-01-05 06:36:02,USDT,COMPRA,0.9996,uniswap
2026-01-05 06:36:02,USDe,COMPRA,0.9998,camelot
2026-01-05 06:36:02,MIM,COMPRA,0.9999,uniswap
2026-01-05 07:05:59,USDT,COMPRA,0.9996,uniswap
2026-01-05 07:05:59,USDe,COMPRA,0.9998,camelot
2026-01-05 07:05:59,MIM,COMPRA,0.9999,uniswap
2026-01-05 07:43:01,USDT,COMPRA,0.9996,uniswap
2026-01-05 07:43:01,USDe,COMPRA,0.9997,camelot
2026-01-05 07:43:01,MIM,COMPRA,0.9999,uniswap
2026-01-05 07:56:34,USDT,COMPRA,0.9996,uniswap
2026-01-05 07:56:34,USDe,COMPRA,0.9997,camelot
2026-01-05 07:56:34,MIM,COMPRA,0.9999,uniswap
2026-01-05 08:33:43,USDT,COMPRA,0.9996,uniswap
2026-01-05 08:33:43,USDe,COMPRA,0.9998,camelot
2026-01-05 08:33:43,MIM,COMPRA,0.9999,uniswap
2026-01-05 09:02:00,USDT,COMPRA,0.9996,uniswap
2026-01-05 09:02:00,USDe,COMPRA,0.9998,camelot
2026-01-05 09:02:00,MIM,COMPRA,0.9999,uniswap
2026-01-05 09:47:00,USDT,COMPRA,0.9996,uniswap
2026-01-05 09:47:00,USDe,COMPRA,0.9996,camelot
2026-01-05 09:47:00,MIM,COMPRA,0.9999,uniswap
2026-01-05 10:21:27,USDT,COMPRA,0.9996,uniswap
2026-01-05 10:21:27,USDe,COMPRA,0.9995,camelot
2026-01-05 10:21:27,MIM,COMPRA,0.9999,uniswap
2026-01-05 10:50:07,USDT,COMPRA,0.9996,uniswap
2026-01-05 10:50:07,USDe,COMPRA,0.9996,camelot
2026-01-05 10:50:07,MIM,COMPRA,0.9999,uniswap
2026-01-05 11:16:52,USDT,COMPRA,0.9996,uniswap
